time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-28 00:00:00+00:00,11,6,8.0,2.0
2025-03-01 00:00:00+00:00,11,7,2.0,2.0
2025-03-02 00:00:00+00:00,12,7,2.0,1.0
2025-03-03 00:00:00+00:00,12,9,10.0,4.0
2025-03-04 00:00:00+00:00,11,6,,
2025-03-05 00:00:00+00:00,11,6,,
2025-03-06 00:00:00+00:00,10,5,3.0,2.0
2025-03-07 00:00:00+00:00,5,4,24.0,6.0
2025-03-08 00:00:00+00:00,8,4,7.0,1.0
2025-03-09 00:00:00+00:00,11,5,1.0,1.0
2025-03-10 00:00:00+00:00,11,5,1.0,1.0
2025-03-11 00:00:00+00:00,10,6,5.0,2.0
2025-03-12 00:00:00+00:00,12,5,13.0,2.0
2025-03-13 00:00:00+00:00,6,2,20.0,4.0
