referrer,views_total,views_unique
github.com,83,4
Google,20,6
goodfirstissues.com,8,1
datajourneyhq.com,6,3
habr.com,2,2
meetco.daily.co,2,1
nancy-chauhan.medium.com,1,1
com.linkedin.android,1,1
