time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-28 00:00:00+00:00,31,11,7,2
2026-06-29 00:00:00+00:00,35,11,6,4
2026-06-30 00:00:00+00:00,40,15,2,2
2026-07-01 00:00:00+00:00,26,11,6,2
2026-07-02 00:00:00+00:00,33,13,10,3
2026-07-03 00:00:00+00:00,36,13,8,8
2026-07-04 00:00:00+00:00,30,11,5,5
2026-07-05 00:00:00+00:00,37,15,7,2
2026-07-06 00:00:00+00:00,72,18,72,5
2026-07-07 00:00:00+00:00,34,12,14,3
2026-07-08 00:00:00+00:00,39,15,5,5
2026-07-09 00:00:00+00:00,33,14,0,0
2026-07-10 00:00:00+00:00,37,17,4,2
2026-07-11 00:00:00+00:00,41,17,8,4
