url_path,views_total,views_unique
/DataJourneyHQ/DataJourney,62,21
/DataJourneyHQ/DataJourney/pulls,8,2
/DataJourneyHQ/DataJourney/issues,7,3
/DataJourneyHQ/DataJourney/pull/149,6,3
/DataJourneyHQ/DataJourney/blob/main/README.md,6,1
/DataJourneyHQ/DataJourney/pull/149/files,5,1
/DataJourneyHQ/DataJourney/wiki/Contribute-to-DataJourney,4,4
/DataJourneyHQ/DataJourney/edit/main/README.md,4,1
/DataJourneyHQ/DataJourney/commit/1e6869dbc6ae7ceaaacb3ddd544a0c3b64c3c1b6,3,3
/DataJourneyHQ/DataJourney/pull/138/files,3,2
