time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-14 00:00:00+00:00,67,22,2,1
2026-06-15 00:00:00+00:00,57,22,6,5
2026-06-16 00:00:00+00:00,39,20,1,1
2026-06-17 00:00:00+00:00,55,18,3,3
2026-06-18 00:00:00+00:00,55,19,0,0
2026-06-19 00:00:00+00:00,96,22,2,2
2026-06-20 00:00:00+00:00,103,25,4,2
2026-06-21 00:00:00+00:00,66,18,11,6
2026-06-22 00:00:00+00:00,69,19,0,0
2026-06-23 00:00:00+00:00,90,23,4,3
2026-06-24 00:00:00+00:00,82,25,2,2
2026-06-25 00:00:00+00:00,65,21,14,3
2026-06-26 00:00:00+00:00,37,13,3,3
2026-06-27 00:00:00+00:00,38,12,3,2
