url_path,views_total,views_unique
/DataJourneyHQ/DataJourney,44,15
/DataJourneyHQ/DataJourney/wiki/Contribution-Guidelines-(AI‐Aware),21,9
/DataJourneyHQ/DataJourney/wiki/Contribute-to-DataJourney,11,2
/DataJourneyHQ/DataJourney/pulls,8,3
/DataJourneyHQ/DataJourney/issues,7,4
/DataJourneyHQ/DataJourney/wiki,6,2
/DataJourneyHQ/DataJourney/actions/runs/20872610075/job/59976966148,3,1
/DataJourneyHQ/DataJourney/pull/214/files,3,1
/DataJourneyHQ/DataJourney/pull/218/files,3,1
/DataJourneyHQ/DataJourney/pull/232,3,1
