time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-27 00:00:00+00:00,9,5,4.0,1.0
2025-05-28 00:00:00+00:00,6,4,19.0,3.0
2025-05-29 00:00:00+00:00,4,3,15.0,5.0
2025-05-30 00:00:00+00:00,4,3,16.0,2.0
2025-05-31 00:00:00+00:00,7,4,6.0,3.0
2025-06-01 00:00:00+00:00,5,4,5.0,3.0
2025-06-02 00:00:00+00:00,9,4,15.0,1.0
2025-06-03 00:00:00+00:00,11,7,12.0,2.0
2025-06-04 00:00:00+00:00,9,5,,
2025-06-05 00:00:00+00:00,11,6,5.0,2.0
2025-06-06 00:00:00+00:00,5,4,35.0,3.0
2025-06-07 00:00:00+00:00,9,6,6.0,4.0
2025-06-08 00:00:00+00:00,8,4,3.0,1.0
2025-06-09 00:00:00+00:00,2,1,14.0,2.0
