time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-12 00:00:00+00:00,27,11,17,2
2025-12-13 00:00:00+00:00,27,10,61,5
2025-12-14 00:00:00+00:00,34,16,30,5
2025-12-15 00:00:00+00:00,10,9,22,3
2025-12-16 00:00:00+00:00,34,18,25,5
2025-12-17 00:00:00+00:00,19,12,2,2
2025-12-18 00:00:00+00:00,35,14,61,5
2025-12-19 00:00:00+00:00,16,11,18,8
2025-12-20 00:00:00+00:00,36,14,49,2
2025-12-21 00:00:00+00:00,35,15,4,3
2025-12-22 00:00:00+00:00,16,11,6,5
2025-12-23 00:00:00+00:00,81,69,4,1
2025-12-24 00:00:00+00:00,103,32,98,2
2025-12-25 00:00:00+00:00,12,6,9,2
