time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-09 00:00:00+00:00,9,5,2.0,1.0
2025-02-10 00:00:00+00:00,36,14,117.0,6.0
2025-02-11 00:00:00+00:00,10,6,6.0,3.0
2025-02-12 00:00:00+00:00,58,16,181.0,3.0
2025-02-13 00:00:00+00:00,10,5,,
2025-02-14 00:00:00+00:00,7,4,6.0,4.0
2025-02-15 00:00:00+00:00,8,5,21.0,1.0
2025-02-16 00:00:00+00:00,9,5,25.0,1.0
2025-02-17 00:00:00+00:00,11,7,39.0,3.0
2025-02-18 00:00:00+00:00,24,11,126.0,5.0
2025-02-19 00:00:00+00:00,28,14,155.0,14.0
2025-02-20 00:00:00+00:00,11,5,15.0,4.0
2025-02-21 00:00:00+00:00,9,5,7.0,4.0
2025-02-22 00:00:00+00:00,13,5,51.0,4.0
