time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-18 00:00:00+00:00,35,14,61,5
2025-12-19 00:00:00+00:00,16,11,18,8
2025-12-20 00:00:00+00:00,36,14,49,2
2025-12-21 00:00:00+00:00,35,15,4,3
2025-12-22 00:00:00+00:00,16,11,6,5
2025-12-23 00:00:00+00:00,81,69,4,1
2025-12-24 00:00:00+00:00,103,32,98,2
2025-12-25 00:00:00+00:00,29,12,18,2
2025-12-26 00:00:00+00:00,14,7,1,1
2025-12-27 00:00:00+00:00,30,11,4,3
2025-12-28 00:00:00+00:00,20,8,2,2
2025-12-29 00:00:00+00:00,25,12,2,2
2025-12-30 00:00:00+00:00,33,13,2,2
2025-12-31 00:00:00+00:00,20,11,11,3
