time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-08 00:00:00+00:00,51,18,188,15
2025-12-09 00:00:00+00:00,31,15,15,5
2025-12-10 00:00:00+00:00,25,8,83,11
2025-12-11 00:00:00+00:00,23,8,62,8
2025-12-12 00:00:00+00:00,27,11,17,2
2025-12-13 00:00:00+00:00,27,10,61,5
2025-12-14 00:00:00+00:00,34,16,30,5
2025-12-15 00:00:00+00:00,10,9,22,3
2025-12-16 00:00:00+00:00,34,18,25,5
2025-12-17 00:00:00+00:00,19,12,2,2
2025-12-18 00:00:00+00:00,35,14,61,5
2025-12-19 00:00:00+00:00,16,11,18,8
2025-12-20 00:00:00+00:00,36,14,49,2
2025-12-21 00:00:00+00:00,19,6,4,3
