time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-01 00:00:00+00:00,108,32,2,2
2025-12-02 00:00:00+00:00,96,29,26,8
2025-12-03 00:00:00+00:00,282,72,14,6
2025-12-04 00:00:00+00:00,15,7,54,3
2025-12-05 00:00:00+00:00,52,21,259,30
2025-12-06 00:00:00+00:00,41,19,132,23
2025-12-07 00:00:00+00:00,88,28,336,18
2025-12-08 00:00:00+00:00,51,18,188,15
2025-12-09 00:00:00+00:00,31,15,15,5
2025-12-10 00:00:00+00:00,25,8,83,11
2025-12-11 00:00:00+00:00,23,8,62,8
2025-12-12 00:00:00+00:00,27,11,17,2
2025-12-13 00:00:00+00:00,27,10,61,5
2025-12-14 00:00:00+00:00,19,8,30,5
