time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-04 00:00:00+00:00,38,15,22,3
2026-06-05 00:00:00+00:00,37,18,14,4
2026-06-06 00:00:00+00:00,79,43,6,1
2026-06-07 00:00:00+00:00,29,13,2,2
2026-06-08 00:00:00+00:00,55,19,4,2
2026-06-09 00:00:00+00:00,32,14,19,8
2026-06-10 00:00:00+00:00,82,41,2,2
2026-06-11 00:00:00+00:00,31,12,3,3
2026-06-12 00:00:00+00:00,49,17,19,6
2026-06-13 00:00:00+00:00,43,18,4,3
2026-06-14 00:00:00+00:00,67,22,2,1
2026-06-15 00:00:00+00:00,57,22,6,5
2026-06-16 00:00:00+00:00,39,20,1,1
2026-06-17 00:00:00+00:00,55,18,3,3
