referrer,views_total,views_unique
github.com,128,6
datajourneyhq.com,34,16
Google,11,3
linkedin.com,8,1
com.linkedin.android,7,2
datajourneyhq.github.io,4,1
canva.com,2,1
preview.canva.site,1,1
DuckDuckGo,1,1
mail.google.com,1,1
