time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-17 00:00:00+00:00,102,34,31,2
2026-05-18 00:00:00+00:00,44,17,3,3
2026-05-19 00:00:00+00:00,57,15,4,2
2026-05-20 00:00:00+00:00,40,17,2,2
2026-05-21 00:00:00+00:00,28,13,0,0
2026-05-22 00:00:00+00:00,151,41,95,3
2026-05-23 00:00:00+00:00,25,14,14,2
2026-05-24 00:00:00+00:00,33,14,6,4
2026-05-25 00:00:00+00:00,50,16,50,6
2026-05-26 00:00:00+00:00,39,13,23,5
2026-05-27 00:00:00+00:00,36,15,18,4
2026-05-28 00:00:00+00:00,36,11,14,2
2026-05-29 00:00:00+00:00,36,17,5,4
2026-05-30 00:00:00+00:00,176,34,25,2
