time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-17 00:00:00+00:00,20,9,12,8
2026-03-18 00:00:00+00:00,16,7,8,5
2026-03-19 00:00:00+00:00,29,15,4,4
2026-03-20 00:00:00+00:00,40,17,54,12
2026-03-21 00:00:00+00:00,34,13,5,3
2026-03-22 00:00:00+00:00,5,4,9,4
2026-03-23 00:00:00+00:00,19,9,3,3
2026-03-24 00:00:00+00:00,20,12,2,2
2026-03-25 00:00:00+00:00,18,9,3,2
2026-03-26 00:00:00+00:00,15,6,1,1
2026-03-27 00:00:00+00:00,35,13,0,0
2026-03-28 00:00:00+00:00,23,10,5,3
2026-03-29 00:00:00+00:00,19,14,1,1
2026-03-30 00:00:00+00:00,27,14,0,0
