time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-07 00:00:00+00:00,7,6,,
2025-04-08 00:00:00+00:00,5,4,2.0,2.0
2025-04-09 00:00:00+00:00,5,4,,
2025-04-10 00:00:00+00:00,13,6,1.0,1.0
2025-04-11 00:00:00+00:00,9,5,2.0,1.0
2025-04-12 00:00:00+00:00,2,1,1.0,1.0
2025-04-13 00:00:00+00:00,8,6,1.0,1.0
2025-04-14 00:00:00+00:00,5,4,2.0,2.0
2025-04-15 00:00:00+00:00,10,6,,
2025-04-16 00:00:00+00:00,8,5,,
2025-04-17 00:00:00+00:00,7,5,1.0,1.0
2025-04-18 00:00:00+00:00,14,6,,
2025-04-19 00:00:00+00:00,8,5,2.0,2.0
2025-04-20 00:00:00+00:00,5,2,,
