url_path,views_total,views_unique
/DataJourneyHQ/DataJourney,29,6
/DataJourneyHQ/DataJourney/wiki/Contribute-to-DataJourney,6,4
/DataJourneyHQ/DataJourney/issues,5,4
/DataJourneyHQ/DataJourney/issues/created_by/closing_references,4,1
/DataJourneyHQ/DataJourney/actions,2,2
/DataJourneyHQ/DataJourney/pulls,2,2
/DataJourneyHQ/DataJourney/commit/2b0707bb45055d3f87ee4667a490ec7593056127,2,1
/DataJourneyHQ/DataJourney/commit/43eede1467baa025a46aedde86ef3957cfb26c7d,2,1
/DataJourneyHQ/DataJourney/commit/70b257733528d39c1bc33c32eb8662e575e2242d,2,1
/DataJourneyHQ/DataJourney/commit/79ab6a32efcc2229351536d1da4b9d46b382b7e1,2,1
