time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-26 00:00:00+00:00,15,6,1,1
2026-03-27 00:00:00+00:00,35,13,0,0
2026-03-28 00:00:00+00:00,23,10,5,3
2026-03-29 00:00:00+00:00,19,14,1,1
2026-03-30 00:00:00+00:00,27,14,0,0
2026-03-31 00:00:00+00:00,23,12,35,24
2026-04-01 00:00:00+00:00,28,15,13,1
2026-04-02 00:00:00+00:00,11,9,2,2
2026-04-03 00:00:00+00:00,41,19,23,17
2026-04-04 00:00:00+00:00,18,12,6,1
2026-04-05 00:00:00+00:00,27,13,3,3
2026-04-06 00:00:00+00:00,20,13,4,4
2026-04-07 00:00:00+00:00,36,11,23,5
2026-04-08 00:00:00+00:00,20,11,22,5
