time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-04 00:00:00+00:00,32,11,4,1
2026-01-05 00:00:00+00:00,31,10,42,5
2026-01-06 00:00:00+00:00,25,12,4,2
2026-01-07 00:00:00+00:00,12,7,5,1
2026-01-08 00:00:00+00:00,14,9,1,1
2026-01-09 00:00:00+00:00,13,8,10,2
2026-01-10 00:00:00+00:00,44,14,24,6
2026-01-11 00:00:00+00:00,21,10,11,4
2026-01-12 00:00:00+00:00,38,16,12,6
2026-01-13 00:00:00+00:00,18,7,16,5
2026-01-14 00:00:00+00:00,12,7,34,27
2026-01-15 00:00:00+00:00,26,8,15,13
2026-01-16 00:00:00+00:00,18,8,29,9
2026-01-17 00:00:00+00:00,23,10,2,2
