time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-14 00:00:00+00:00,52,16,1,1
2026-04-15 00:00:00+00:00,56,18,16,2
2026-04-16 00:00:00+00:00,28,11,20,8
2026-04-17 00:00:00+00:00,44,16,7,2
2026-04-18 00:00:00+00:00,29,14,6,6
2026-04-19 00:00:00+00:00,55,22,21,17
2026-04-20 00:00:00+00:00,88,40,8,8
2026-04-21 00:00:00+00:00,168,62,29,12
2026-04-22 00:00:00+00:00,155,51,9,3
2026-04-23 00:00:00+00:00,160,51,8,8
2026-04-24 00:00:00+00:00,116,42,2,1
2026-04-25 00:00:00+00:00,139,45,3,3
2026-04-26 00:00:00+00:00,48,13,9,9
2026-04-27 00:00:00+00:00,43,16,9,7
