time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-02 00:00:00+00:00,13,8,38,3
2025-07-03 00:00:00+00:00,30,17,78,6
2025-07-04 00:00:00+00:00,10,9,11,4
2025-07-05 00:00:00+00:00,8,7,1,1
2025-07-06 00:00:00+00:00,17,16,3,2
2025-07-07 00:00:00+00:00,39,21,54,3
2025-07-08 00:00:00+00:00,9,5,54,2
2025-07-09 00:00:00+00:00,10,9,31,7
2025-07-10 00:00:00+00:00,26,13,55,5
2025-07-11 00:00:00+00:00,11,9,15,2
2025-07-12 00:00:00+00:00,9,8,1,1
2025-07-13 00:00:00+00:00,12,10,4,1
2025-07-14 00:00:00+00:00,11,10,53,5
2025-07-15 00:00:00+00:00,8,5,1,1
