referrer,views_total,views_unique
github.com,88,6
datajourneyhq.com,32,15
Google,13,4
com.linkedin.android,7,2
datajourneyhq.github.io,4,1
canva.com,2,1
mail.google.com,1,1
DuckDuckGo,1,1
