url_path,views_total,views_unique
/DataJourneyHQ/DataJourney,80,19
/DataJourneyHQ/DataJourney/graphs/contributors,5,1
/DataJourneyHQ/DataJourney/issues,4,3
/DataJourneyHQ/DataJourney/forks,4,2
/DataJourneyHQ/DataJourney/blob/main/.github/FUNDING.yml,4,1
/DataJourneyHQ/DataJourney/pulls,3,1
/DataJourneyHQ/DataJourney/wiki/Contribute-to-DataJourney,2,2
/DataJourneyHQ/DataJourney/edit/main/.github/FUNDING.yml,2,1
/DataJourneyHQ/DataJourney/tree/main/.github,2,1
/DataJourneyHQ/DataJourney/blob/75d39c1fc85e71eba094bac8cf07340dcd592da9/setup.py,1,1
