time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-19 00:00:00+00:00,20,7,6,5
2026-01-20 00:00:00+00:00,23,8,4,3
2026-01-21 00:00:00+00:00,19,10,4,4
2026-01-22 00:00:00+00:00,17,8,0,0
2026-01-23 00:00:00+00:00,22,9,1,1
2026-01-24 00:00:00+00:00,30,13,1,1
2026-01-25 00:00:00+00:00,33,16,7,3
2026-01-26 00:00:00+00:00,19,10,6,4
2026-01-27 00:00:00+00:00,9,6,33,5
2026-01-28 00:00:00+00:00,26,12,1,1
2026-01-29 00:00:00+00:00,20,10,11,4
2026-01-30 00:00:00+00:00,25,16,0,0
2026-01-31 00:00:00+00:00,27,14,3,1
2026-02-01 00:00:00+00:00,21,12,2,1
