time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-01 00:00:00+00:00,13,8,27.0,3.0
2025-08-02 00:00:00+00:00,7,6,3.0,1.0
2025-08-03 00:00:00+00:00,8,7,,
2025-08-04 00:00:00+00:00,10,8,10.0,3.0
2025-08-05 00:00:00+00:00,7,4,3.0,1.0
2025-08-06 00:00:00+00:00,4,3,12.0,2.0
2025-08-07 00:00:00+00:00,6,5,16.0,2.0
2025-08-08 00:00:00+00:00,19,10,36.0,1.0
2025-08-09 00:00:00+00:00,29,14,31.0,1.0
2025-08-10 00:00:00+00:00,5,4,7.0,1.0
2025-08-11 00:00:00+00:00,47,14,50.0,11.0
2025-08-12 00:00:00+00:00,47,7,110.0,22.0
2025-08-13 00:00:00+00:00,30,12,49.0,11.0
2025-08-14 00:00:00+00:00,3,2,23.0,12.0
