referrer,views_total,views_unique
github.com,69,2
github.blog,47,37
linkedin.com,10,6
datajourneyhq.com,2,2
go.bsky.app,2,2
news.hada.io,1,1
datajourneyhq.github.io,1,1
DuckDuckGo,1,1
Google,1,1
