time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-08 00:00:00+00:00,18,9,10,3
2026-02-09 00:00:00+00:00,29,12,0,0
2026-02-10 00:00:00+00:00,18,11,3,2
2026-02-11 00:00:00+00:00,20,11,3,2
2026-02-12 00:00:00+00:00,18,9,0,0
2026-02-13 00:00:00+00:00,15,10,5,5
2026-02-14 00:00:00+00:00,15,10,1,1
2026-02-15 00:00:00+00:00,21,11,2,2
2026-02-16 00:00:00+00:00,20,10,1,1
2026-02-17 00:00:00+00:00,22,9,2,2
2026-02-18 00:00:00+00:00,21,10,1,1
2026-02-19 00:00:00+00:00,31,12,0,0
2026-02-20 00:00:00+00:00,75,31,24,3
2026-02-21 00:00:00+00:00,32,16,1,1
