url_path,views_total,views_unique
/DataJourneyHQ/DataJourney,139,6
/DataJourneyHQ/DataJourney/pulls,52,1
/DataJourneyHQ/DataJourney/security,23,1
/DataJourneyHQ/DataJourney/issues,21,1
/DataJourneyHQ/DataJourney/security/code-scanning,19,1
/DataJourneyHQ/DataJourney/actions,11,1
/DataJourneyHQ/DataJourney/pull/166,9,1
/DataJourneyHQ/DataJourney/commit/2aecb881d090f92bc76af27180ae6835fdf88ead,8,2
/DataJourneyHQ/DataJourney/actions/workflows/scorecard.yml,7,1
/DataJourneyHQ/DataJourney/pull/165,7,1
