url_path,views_total,views_unique
/DataJourneyHQ/DataJourney,119,6
/DataJourneyHQ/DataJourney/pulls,33,1
/DataJourneyHQ/DataJourney/issues,23,1
/DataJourneyHQ/DataJourney/security,15,1
/DataJourneyHQ/DataJourney/actions,10,1
/DataJourneyHQ/DataJourney/security/code-scanning,10,1
/DataJourneyHQ/DataJourney/commit/2aecb881d090f92bc76af27180ae6835fdf88ead,8,2
/DataJourneyHQ/DataJourney/actions/workflows/scorecard.yml,7,1
/DataJourneyHQ/DataJourney/stargazers,7,1
/DataJourneyHQ/DataJourney/pull/165,6,1
