time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-22 00:00:00+00:00,19,9,25,10
2025-10-23 00:00:00+00:00,6,5,12,3
2025-10-24 00:00:00+00:00,36,12,22,4
2025-10-25 00:00:00+00:00,17,10,5,1
2025-10-26 00:00:00+00:00,11,9,1,1
2025-10-27 00:00:00+00:00,16,10,9,3
2025-10-28 00:00:00+00:00,12,8,19,4
2025-10-29 00:00:00+00:00,39,15,7,4
2025-10-30 00:00:00+00:00,21,14,18,4
2025-10-31 00:00:00+00:00,13,7,2,2
2025-11-01 00:00:00+00:00,10,7,7,2
2025-11-02 00:00:00+00:00,7,6,2,2
2025-11-03 00:00:00+00:00,54,16,8,3
2025-11-04 00:00:00+00:00,35,12,15,6
