time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-03 00:00:00+00:00,3,3,,
2025-07-05 00:00:00+00:00,1,1,1.0,1.0
2025-07-08 00:00:00+00:00,1,1,,
